Python-东莞,15-30K·14薪,专业知识：1、3年以上编码经验，Java/Scala/Python/Matlab/R 中的至少一种，掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式；2.熟悉Tensorflow、CNTK、Keras、MXNet、PyTorch等开源AI框架及相关经验者优先；3.熟练运用分类、聚类、回归、神经网络等算法；业务技能：1.掌握Devops开发流程、微服务开发模式、云原生应用设计及开发模式；2.基于PAAS平台，以微服务方式构建平台各模块、模型预测服务能力，构建平台的安全、可服务、可靠性、可扩展能力；3.具备构建版本工程能力，包括代码构建、开源漏洞扫描、代码质量工程等；4.熟悉机器学习各种算法应用场景、范围和约束，具备丰富的创造性建模经验；5.熟悉机器学习、深度学习的原理与算法，对AI领域具有扎实的理论功底；6.熟悉业界各种学习框架，并对齐提供的算法有一定实践经验。ps：java、python、js、c/c++均可，算法和大数据属于加分项,消费者BG/软件部,东莞市 东莞市 华为欧洲小镇
python,12-20K,负责大规模文本、图像等数据的抓取、结构化信息的提取、质量识别等工作。1. 开发分布式网络爬虫2. 提取结构化信息3. 识别结构化信息的质量岗位要求：1. 熟悉 Linux 开发环境，熟练使用 Shell2. 熟悉 高并发、高性能分布式系统3. 熟悉 HTTP协议，熟悉 HTML，JavaScript，XPath4. 熟悉 网络协议5. 从事 Python 开发 1年及以上,"中软国际有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码00354，员工约62,000人。面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（O2O）。线下业务依托中软国际多年积累起来的传统",东莞市 东莞市 光大We谷
软件工程师（JAVA/Python/C/C++/AI/GPU）,15-30K,关键技能：1、 对技术有强烈的进取心，优秀的分析问题和解决问题的能力，抗压能力强2、 精通Java/Python/C/C++/Go/Vue/Angular（其中一种），有2年以上软件编程/优化经验3、 数据结构、操作系统、计算机体系结构等基础理论扎实专业知识：1、 计算机/信息系统/通讯等相关专业，本科及以上学历，英语四级及以上。2、 对技术有激情，喜欢钻研，有较强的自主学习能力，能够快速接受和掌握新技术。3、 具有良好的沟通交流能力和团队合作精神。,华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,东莞市 东莞市 溪流背坡村(华为)
Python,15-26K,1.计算机或相关专业的本科及以上；2.有后端开发经验，编程基础扎实，熟练掌握Python开发语言；3.能熟练运用几种基本的设计模式，熟悉常用的软件架构，熟悉常用数据结构和算法；4.熟悉关系／非关系型数据库的使用和基本调试优化；5.熟悉高并发编程、缓存、队列、负载均衡，等各种服务端性能调优方案；6.自主学习能力，对各种新技术有热情7.优秀的逻辑思维能力、学习能力，良好的沟通能力、团队协作精神。,软通动力信息技术（集团）有限公司： 软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数50000+,东莞市 东莞市 华为欧洲小镇
Python,12-18K,Python开发工程师，开发经验2年及以上有AI项目经验最佳梗：统招本科。理工科专业,,东莞松山湖
Python,10-15K,Python开发岗位职责：1. 负责Python软件、服务器程序、网站后台设计，相关算法研发和优化。2. 参与应用设计与方案讨论。3. 负责实现软件、应用程序代码，建立和完善开发文档。4. 协助对所开发的功能进行测试，协助产品部署。岗位要求：1. 熟练掌握Python的使用，有一定的python web开发经验，熟悉Tornado优先。2. 至少会使用一种数据库技术，如Oracle、SQL Sever、Mysql、PostgreSQL等。3. 熟悉Bootstrap、Node.js、.NET、Linux Shell优先。4. 有良好的编程习惯，沟通能力强，能够独自编写技术文档。5. 具备较好的学习能力、问题分析能力，可以独立调试解决问题。6. 良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力。,【软通动力信息技术（集团）有限公司】作为中国智慧城市与产业互联网（互联网+）建设的领导者，领先的创新型技术服务提供商，软通动力立足中国，服务全球。公司主营业务涵盖智慧业务与信息技术服务两大领域，具备端到端“软件 +服务”综合业务能力和强大的纵深服务优势。在智慧业务领域,东莞光大·We谷B1栋3楼
python 测试/开发,9-14K,任职要求:1、熟练掌握linux操作系统，有大型产品软件测试/自动化测试/性能测试经验。2、工作经验两年以上。3、熟悉Python脚本语言。4、良好的表达能力，专注精神，注重团队协作，主动承担。5、有大规模分布式系统设计，开发经验者优先。有云存储开发经验者优先。,"中软国际有限公司（以下简称：中软国际）是中国领先大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码354，员工超过60,000人。面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下业务与线上业务互动的业务结构（O2O）。线下业务依托中软国际多年积累起来的传统",东莞市 东莞市 溪流背坡村(华为)
Python工程师,10-15K,【岗位职责】1、负责项目组的机房规划（包括机柜电源规划、网络拓扑和分层规划、存储规划）和实施（不包括机柜布线，规划好后安排专业人事负责布线）2、负责项目组的基础环境运维，包括交换机配置、服务器OS安装、基础服务（NTP\FTP\NFS\NIS\OPENVPN\数据库、代理等）部署，存储设备配置、分布式存储配置和维护3、负责项目组的监控系统（电源功率监控、资源监控、服务监控、CMDB、告警系统等）搭建和维护4、负责项目组的环境故障（硬件、软件）处理【招聘要求】1、统招二本及以上学历，计算机、通信、软件等相关专业1、2年及以上运维工作经验2、熟悉各种运维知识（包括服务器、交换机、Linux运维和监控工具）3、熟悉linux操作系统、linux命令行，能熟练使用bash脚本或者Python脚本,公司简介上海易宝软件有限公司是由香港上市企业易宝系统（HKSE：8086）全资控股的专业从事软件和IT外包服务的企业，是一家全球领先的软件和IT外包供应商，专长于软件开发、信息技术和个性化、专业化服务。公司总部在上海，目前在南京、杭州、广州、深圳、郑州、重庆、西安设有分公司或办事处，公司发展迅速目,东莞市 东莞市 溪流背坡村(华为)
Python,15-30K,工作职责：1.负责鲲鹏服务器自动化架构的设计，开发与维护2.负责自动化相关服务的设计与开发技能要求：1.精通python 用python做过大型项目的开发2.熟悉selenium 等ui自动化框架3.计算机相关专业，熟悉服务器，智能ai硬件、arm架构4. 具备ci/cd持续集成交付经验优先,消费者BG/软件部,东莞东莞市溪流背坡村(华为)
Python,15-30K·14薪,工作地：东莞职责概述：1、负责云服务、大数据服务及网络oss领域相关服务代码开发，能够与团队共同高质量交付的相应职责。2、负责子系统架构、模块化设计、分析，以及核心代码编写，能够与团队完成高质量交付的相应职责。专业知识：1. 熟悉Python语言经验者优先2. 熟悉Linux操作系统基础原理，熟练使用Linux系统3. 熟悉TCP/IP、HTTP等协议，有良好的网络、数据传输、安全、计算机体系结构方面的知识4. 有kvm或docker等虚拟化技术/项目开发经验的优先5. 有很强的学习能力，以及分析和解决问题的能力,华为在IP领域有着超过20年的专业积累，我们致力于打造差异化的创新产品，持续将5G、云、AI等数字技术创新运用于IP技术中，构建无处不在的极致联接体验，助力用户加速迈入万物互联的智能世界。市场份额持续领先：我们在全球150个国家拥有数万家渠道和合作伙伴，拥有500亿市场空间，5年内净增百亿，实现,东莞市 东莞市 溪流背坡村(华为)
